openTime,openTimeIso,open,high,low,close,volume
1785704100000,2026-08-02T20:55:00.000Z,63472.05000000,63501.48000000,63472.04000000,63494.52000000,17.78653000
1785704400000,2026-08-02T21:00:00.000Z,63494.51000000,63571.98000000,63479.45000000,63571.98000000,35.49684000
1785704700000,2026-08-02T21:05:00.000Z,63571.98000000,63571.98000000,63515.99000000,63527.99000000,27.61312000
1785705000000,2026-08-02T21:10:00.000Z,63527.99000000,63547.60000000,63512.12000000,63527.45000000,29.89072000
1785705300000,2026-08-02T21:15:00.000Z,63527.45000000,63553.12000000,63512.00000000,63515.99000000,22.67140000
1785705600000,2026-08-02T21:20:00.000Z,63516.00000000,63530.06000000,63515.99000000,63530.06000000,10.07069000
1785705900000,2026-08-02T21:25:00.000Z,63530.06000000,63542.86000000,63516.00000000,63542.85000000,21.00734000
1785706200000,2026-08-02T21:30:00.000Z,63542.85000000,63570.15000000,63522.00000000,63528.00000000,13.77549000
1785706500000,2026-08-02T21:35:00.000Z,63528.00000000,63576.62000000,63514.35000000,63515.67000000,24.04672000
1785706800000,2026-08-02T21:40:00.000Z,63515.67000000,63781.69000000,63508.60000000,63704.01000000,124.31002000
1785707100000,2026-08-02T21:45:00.000Z,63704.01000000,63785.00000000,63658.00000000,63684.00000000,72.18777000
1785707400000,2026-08-02T21:50:00.000Z,63684.00000000,63703.99000000,63606.60000000,63606.60000000,41.36955000
1785707700000,2026-08-02T21:55:00.000Z,63606.61000000,63634.00000000,63548.70000000,63578.00000000,34.83790000
1785708000000,2026-08-02T22:00:00.000Z,63578.01000000,63738.00000000,63578.01000000,63692.00000000,72.52825000
1785708300000,2026-08-02T22:05:00.000Z,63692.00000000,63729.80000000,63648.00000000,63709.45000000,34.44548000
1785708600000,2026-08-02T22:10:00.000Z,63709.46000000,63796.33000000,63692.69000000,63696.27000000,44.12136000
1785708900000,2026-08-02T22:15:00.000Z,63696.27000000,63790.94000000,63663.52000000,63680.00000000,40.44510000
1785709200000,2026-08-02T22:20:00.000Z,63680.01000000,63697.11000000,63655.00000000,63661.64000000,22.59294000
1785709500000,2026-08-02T22:25:00.000Z,63661.64000000,63669.15000000,63572.23000000,63591.99000000,45.19606000
1785709800000,2026-08-02T22:30:00.000Z,63592.00000000,63600.39000000,63446.00000000,63446.00000000,48.76359000
1785710100000,2026-08-02T22:35:00.000Z,63446.01000000,63464.00000000,63376.71000000,63401.19000000,58.29996000
1785710400000,2026-08-02T22:40:00.000Z,63401.19000000,63525.28000000,63377.58000000,63518.01000000,52.40237000
1785710700000,2026-08-02T22:45:00.000Z,63518.00000000,63572.50000000,63450.65000000,63450.65000000,37.42288000
1785711000000,2026-08-02T22:50:00.000Z,63450.66000000,63454.00000000,63429.09000000,63433.06000000,16.51849000
1785711300000,2026-08-02T22:55:00.000Z,63433.06000000,63436.46000000,63424.00000000,63424.58000000,11.40442000
1785711600000,2026-08-02T23:00:00.000Z,63424.58000000,63457.50000000,63394.00000000,63404.00000000,23.51352000
1785711900000,2026-08-02T23:05:00.000Z,63404.00000000,63404.00000000,63358.75000000,63388.63000000,39.05036000
1785712200000,2026-08-02T23:10:00.000Z,63388.64000000,63396.59000000,63344.00000000,63363.99000000,29.16999000
1785712500000,2026-08-02T23:15:00.000Z,63363.99000000,63533.42000000,63344.00000000,63530.60000000,80.72577000
1785712800000,2026-08-02T23:20:00.000Z,63530.61000000,63530.61000000,63462.72000000,63486.45000000,26.92366000
1785713100000,2026-08-02T23:25:00.000Z,63486.46000000,63546.88000000,63486.46000000,63542.65000000,20.42265000
1785713400000,2026-08-02T23:30:00.000Z,63542.65000000,63596.00000000,63534.15000000,63576.62000000,25.44211000
1785713700000,2026-08-02T23:35:00.000Z,63576.61000000,63585.79000000,63512.00000000,63526.00000000,12.37352000
1785714000000,2026-08-02T23:40:00.000Z,63526.00000000,63526.00000000,63490.00000000,63523.33000000,18.90484000
1785714300000,2026-08-02T23:45:00.000Z,63523.34000000,63552.02000000,63486.01000000,63514.64000000,29.68675000
1785714600000,2026-08-02T23:50:00.000Z,63514.65000000,63546.71000000,63498.00000000,63504.01000000,16.02252000
1785714900000,2026-08-02T23:55:00.000Z,63504.01000000,63575.19000000,63504.01000000,63570.00000000,15.43729000
1785715200000,2026-08-03T00:00:00.000Z,63570.01000000,63596.00000000,63492.40000000,63514.53000000,53.86020000
1785715500000,2026-08-03T00:05:00.000Z,63514.53000000,63514.53000000,63433.00000000,63447.99000000,18.52294000
1785715800000,2026-08-03T00:10:00.000Z,63447.99000000,63450.00000000,63390.00000000,63425.05000000,25.20456000
1785716100000,2026-08-03T00:15:00.000Z,63425.05000000,63442.00000000,63387.80000000,63387.80000000,17.84639000
1785716400000,2026-08-03T00:20:00.000Z,63387.80000000,63435.99000000,63372.55000000,63379.54000000,26.82474000
1785716700000,2026-08-03T00:25:00.000Z,63379.54000000,63379.54000000,63250.04000000,63262.84000000,71.63696000
1785717000000,2026-08-03T00:30:00.000Z,63262.84000000,63358.15000000,63208.30000000,63358.15000000,44.73970000
1785717300000,2026-08-03T00:35:00.000Z,63358.15000000,63396.79000000,63334.01000000,63396.79000000,22.41998000
1785717600000,2026-08-03T00:40:00.000Z,63396.79000000,63425.97000000,63310.15000000,63331.81000000,21.12301000
1785717900000,2026-08-03T00:45:00.000Z,63331.81000000,63344.00000000,63271.20000000,63336.00000000,27.65078000
1785718200000,2026-08-03T00:50:00.000Z,63335.99000000,63352.00000000,63300.00000000,63321.99000000,18.36298000
1785718500000,2026-08-03T00:55:00.000Z,63322.00000000,63324.00000000,63309.99000000,63317.60000000,9.13118000
1785718800000,2026-08-03T01:00:00.000Z,63317.61000000,63350.00000000,63242.66000000,63339.50000000,47.01209000
1785719100000,2026-08-03T01:05:00.000Z,63339.51000000,63349.74000000,63233.49000000,63276.01000000,25.92250000
1785719400000,2026-08-03T01:10:00.000Z,63276.01000000,63295.81000000,63180.00000000,63221.18000000,23.88234000
1785719700000,2026-08-03T01:15:00.000Z,63221.19000000,63243.50000000,63169.12000000,63203.99000000,32.50087000
1785720000000,2026-08-03T01:20:00.000Z,63203.99000000,63204.00000000,63158.00000000,63200.00000000,18.84105000
1785720300000,2026-08-03T01:25:00.000Z,63200.00000000,63260.00000000,63111.10000000,63175.99000000,61.08020000
1785720600000,2026-08-03T01:30:00.000Z,63175.99000000,63248.00000000,63160.66000000,63226.00000000,29.61645000
1785720900000,2026-08-03T01:35:00.000Z,63226.01000000,63234.00000000,63180.00000000,63194.00000000,20.24818000
1785721200000,2026-08-03T01:40:00.000Z,63194.00000000,63246.39000000,63184.00000000,63219.31000000,23.05386000
1785721500000,2026-08-03T01:45:00.000Z,63219.32000000,63230.00000000,63190.00000000,63190.01000000,33.47213000
1785721800000,2026-08-03T01:50:00.000Z,63190.01000000,63194.28000000,63165.39000000,63165.39000000,32.06545000
1785722100000,2026-08-03T01:55:00.000Z,63165.40000000,63223.79000000,63162.00000000,63212.16000000,24.61806000
1785722400000,2026-08-03T02:00:00.000Z,63212.16000000,63233.29000000,63165.22000000,63219.75000000,26.15570000
1785722700000,2026-08-03T02:05:00.000Z,63219.74000000,63220.00000000,63170.08000000,63182.00000000,21.61443000
1785723000000,2026-08-03T02:10:00.000Z,63182.00000000,63205.31000000,63138.93000000,63205.31000000,24.28012000
1785723300000,2026-08-03T02:15:00.000Z,63205.31000000,63233.29000000,63192.29000000,63228.27000000,30.79296000
1785723600000,2026-08-03T02:20:00.000Z,63228.28000000,63286.00000000,63218.20000000,63218.20000000,34.04429000
1785723900000,2026-08-03T02:25:00.000Z,63218.20000000,63228.13000000,63100.00000000,63128.00000000,31.46665000
1785724200000,2026-08-03T02:30:00.000Z,63128.01000000,63168.00000000,63108.33000000,63167.99000000,21.48835000
1785724500000,2026-08-03T02:35:00.000Z,63167.99000000,63206.00000000,63155.46000000,63199.99000000,17.77298000
1785724800000,2026-08-03T02:40:00.000Z,63200.00000000,63216.79000000,63180.39000000,63180.40000000,41.62374000
1785725100000,2026-08-03T02:45:00.000Z,63180.39000000,63196.00000000,63174.00000000,63193.99000000,37.19785000
1785725400000,2026-08-03T02:50:00.000Z,63193.99000000,63194.01000000,63150.00000000,63150.00000000,19.25985000
1785725700000,2026-08-03T02:55:00.000Z,63150.01000000,63157.52000000,63120.01000000,63141.40000000,28.49267000
1785726000000,2026-08-03T03:00:00.000Z,63141.39000000,63162.00000000,63116.17000000,63151.82000000,20.51721000
1785726300000,2026-08-03T03:05:00.000Z,63151.82000000,63168.44000000,63100.00000000,63131.70000000,16.18543000
1785726600000,2026-08-03T03:10:00.000Z,63131.70000000,63136.00000000,63100.01000000,63116.00000000,29.78145000
1785726900000,2026-08-03T03:15:00.000Z,63116.00000000,63138.37000000,63082.54000000,63091.30000000,28.88525000
1785727200000,2026-08-03T03:20:00.000Z,63091.30000000,63115.07000000,63073.24000000,63092.95000000,51.11721000
1785727500000,2026-08-03T03:25:00.000Z,63092.94000000,63092.95000000,63062.98000000,63080.01000000,23.45497000
1785727800000,2026-08-03T03:30:00.000Z,63080.01000000,63084.00000000,63039.99000000,63083.99000000,38.74049000
1785728100000,2026-08-03T03:35:00.000Z,63084.00000000,63089.98000000,63054.00000000,63058.48000000,34.21574000
1785728400000,2026-08-03T03:40:00.000Z,63058.48000000,63062.93000000,63045.08000000,63062.93000000,25.70007000
1785728700000,2026-08-03T03:45:00.000Z,63062.93000000,63065.89000000,62786.04000000,62930.00000000,191.62540000
1785729000000,2026-08-03T03:50:00.000Z,62930.00000000,62965.00000000,62913.25000000,62946.03000000,28.74225000
1785729300000,2026-08-03T03:55:00.000Z,62946.03000000,62946.03000000,62870.48000000,62870.49000000,27.49876000
1785729600000,2026-08-03T04:00:00.000Z,62870.48000000,62938.55000000,62851.71000000,62938.55000000,54.24248000
1785729900000,2026-08-03T04:05:00.000Z,62938.55000000,62938.55000000,62870.65000000,62872.00000000,40.49754000
1785730200000,2026-08-03T04:10:00.000Z,62872.00000000,62890.00000000,62816.34000000,62865.93000000,21.84444000
1785730500000,2026-08-03T04:15:00.000Z,62865.93000000,62934.78000000,62865.92000000,62926.00000000,18.02355000
1785730800000,2026-08-03T04:20:00.000Z,62926.00000000,62978.11000000,62920.00000000,62954.38000000,20.74753000
1785731100000,2026-08-03T04:25:00.000Z,62954.38000000,62978.00000000,62945.87000000,62972.67000000,12.40873000
1785731400000,2026-08-03T04:30:00.000Z,62972.67000000,63001.77000000,62972.66000000,62991.93000000,23.44218000
1785731700000,2026-08-03T04:35:00.000Z,62991.93000000,63001.77000000,62972.72000000,63000.12000000,29.25075000
1785732000000,2026-08-03T04:40:00.000Z,63000.12000000,63000.13000000,62965.00000000,62981.99000000,11.26719000
1785732300000,2026-08-03T04:45:00.000Z,62981.99000000,62982.00000000,62926.00000000,62926.00000000,19.33934000
